Year,Mileage-Highway,Mileage-City,Congestion-Highway,Congestion-City
2013,112.1216431,12404,10.44,425.18
2014,123,15848,11.19,435.2
2015,141.9132469,19230,12.35,445.38
2016,181.9666596,23888.12216,13.1,456.42
2017,223,30086,13.65,463.7
2018,280,36478,14.26,470.39
2019,334,44068,14.96,486.29
2020,383.69875,50771,16.1,503.71
2021,450,59750.85609,16.73996708,512.1661316
2022,506.5908719,66503.96648,17.64517729,529.9715388
2023,547,73078,18.28571283,538.7326495
2024,591,78914,19.19517271,540.091561
2025,646.146744,84824.50787,19.8929393,560.4662952
2026,688.5656999,90393.16096,20.63880603,565.8720532
2027,714.5860673,93809.04889,21.43420216,574.679005
2028,737.0841647,96762.54212,22.1759184,586.9882137
2029,750.6269698,98540.40727,22.94927421,595.501682
2030,764,100468,23.57110837,606.2524048
2031,773.0918189,101663.598,24.53935758,620.4310651
2032,781.8301191,102812.7073,25.31041556,630.8206969
2033,790.0309427,103891.1371,26.3576346,641.4089386
2034,795.2485547,104976,26.76901591,650.3115132
2035,802.4,105806,27.60068108,656.6799772
2036,807.7592743,106832,28.40035257,671.5537944
2037,815.4051909,107682,29.13506018,684.1653169
2038,817.9,108668,29.92311987,692.1831997
2039,821.2830833,108953.8,30.68418613,703.9736439
2040,823,109470,31.42240436,713.8553646
2041,821.8246503,109313.6628,32.21209303,722.1214855
2042,819.4,108991.1519,32.94870393,734.0271166
2043,817.2,108698.5225,33.77249354,742.1795821
2044,814.6,108352.6877,34.47892646,756.496513
2045,811.5,107940.3463,35.25219935,762.5150733
2046,806.7,107301.8821,36.0312014,773.259933
2047,801.3,106583.61,36.73449356,784.4099059
2048,795,105745.6258,37.64388558,790.2063805
2049,786,104548.5055,38.37948343,810.5763161
2050,773.62,102901.8,39.11612707,818.6571482
